ticker,yahoo_symbol,status,reason,n_rows,first_date,last_date,expected_sessions,completeness,in_fincall,fincall_calls,in_maec,maec_calls
NMIH,NMIH,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NNN,NNN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NOC,NOC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,5
NOV,NOV,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,4,True,2
NOW,NOW,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,8,False,0
NP,NP,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
NPIXY,NPIXY,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,True,1,False,0
NPO,NPO,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NR,NR,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
NRG,NRG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,4,True,1
NSA,NSA,ok,,1811,2015-04-22,2022-06-29,1811,1.0,False,0,True,3
NSC,NSC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,2
NSIT,NSIT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,5
NSP,NSP,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,7
NTAP,NTAP,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,5,True,2
NTCT,NTCT,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
NTGR,NTGR,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
NTRI,NTRI,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,4
NTRS,NTRS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,1
NUE,NUE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
NUS,NUS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NUVA,NUVA,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,5
NVDA,NVDA,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,3,True,2
NWE,NWE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
NWL,NWL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,3,True,4
NWN,NWN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,8
NWSA,NWSA,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
NX,NX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,6
O,O,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,6,True,4
OA,OA,ok,,1011,2014-06-02,2018-06-06,1012,0.999,False,0,True,3
OCLR,OCLR,ok,,1140,2014-06-02,2018-12-10,1141,0.9991,False,0,True,1
ODFL,ODFL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
ODP,ODP,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
OFC,OFC,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,2
OFG,OFG,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
OFIX,OFIX,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
OGE,OGE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
OGN,OGN,ok,,284,2021-05-14,2022-06-29,284,1.0,True,2,False,0
OGS,OGS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,6
OHI,OHI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,3
OI,OI,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,1
OIS,OIS,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
OKE,OKE,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,False,0
OLLI,OLLI,ok,,1752,2015-07-16,2022-06-29,1752,1.0,False,0,True,4
OLN,OLN,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,7,True,2
OMC,OMC,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,9,True,4
OMCL,OMCL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
OMI,OMI,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,3
ON,ON,ok,,2035,2014-06-02,2022-06-29,2035,1.0,True,3,False,0
ONB,ONB,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,2
OPB,OPB,missing,no_data:delisted_renamed_or_unlisted_on_yahoo,0,,,0,0.0,False,0,True,1
ORCL,ORCL,ok,,2035,2014-06-02,2022-06-29,2035,1.0,False,0,True,4
