call_id,ticker,date,split,horizon,y_true,y_pred,y_persistence
BA_2020_Q1_20200429,BA,2020-04-29,train,30,-2.89106055709159,,-2.319631420732132
BA_2020_Q2_20200729,BA,2020-07-29,train,30,-3.597383576335165,,-3.25453924169396
BA_2020_Q3_20201028,BA,2020-10-28,train,30,-3.195456912733716,,-3.509973173998504
BA_2020_Q4_20210127,BA,2021-01-27,train,30,-3.497705633587828,,-4.083809220263463
BA_2021_Q1_20210428,BA,2021-04-28,train,30,-4.009961940416488,,-3.9390720902506313
BA_2021_Q2_20210728,BA,2021-07-28,train,30,-4.024890190569335,,-3.835607500960809
BA_2021_Q3_20211027,BA,2021-10-27,train,30,-3.530009596195754,,-4.1954915610483
BKNG_2018_Q4_20190227,BKNG,2019-02-27,val,30,-3.786262725130636,,-4.327892857073609
BKNG_2019_Q1_20190509,BKNG,2019-05-09,train,30,-3.992757697473892,,-4.663064007254118
BKNG_2019_Q2_20190807,BKNG,2019-08-07,train,30,-4.123477001490037,,-4.383097587585671
BKNG_2019_Q3_20191107,BKNG,2019-11-07,train,30,-4.689113396017387,,-4.075102309743835
BKNG_2019_Q4_20200226,BKNG,2020-02-27,train,30,-2.8182609408567023,,-3.8738610654318695
BKNG_2020_Q1_20200507,BKNG,2020-05-07,train,30,-3.325781641609084,,-3.236168341616512
BKNG_2020_Q2_20200806,BKNG,2020-08-06,val,30,-4.211560934297719,,-3.843639099813458
BKNG_2020_Q3_20201105,BKNG,2020-11-05,train,30,-3.2535215318480275,,-3.678700318063067
BKNG_2020_Q4_20210224,BKNG,2021-02-24,train,30,-3.764352467190443,,-3.64718392385138
BKNG_2021_Q1_20210506,BKNG,2021-05-05,train,30,-4.152351635307239,,-4.095457844620459
BKNG_2021_Q2_20210804,BKNG,2021-08-04,val,30,-4.026002565957752,,-4.150665666761667
BKNG_2021_Q3_20211103,BKNG,2021-11-03,train,30,-3.537838536545502,,-4.20847457506886
BLK_2018_Q4_20190116,BLK,2019-01-16,train,30,-4.506747112161793,,-3.882954003491848
BLK_2019_Q1_20190416,BLK,2019-04-16,train,30,-4.261938237368486,,-4.443436334519851
BLK_2019_Q2_20190719,BLK,2019-07-19,val,30,-4.066959347355828,,-4.649590076483038
BLK_2019_Q3_20191015,BLK,2019-10-15,train,30,-4.623885778797113,,-4.2596233003739234
BLK_2019_Q4_20200115,BLK,2020-01-15,val,30,-3.881756665050684,,-4.808188465613848
BLK_2020_Q1_20200416,BLK,2020-04-16,train,30,-3.5962223462537826,,-2.646414828296006
BLK_2020_Q2_20200717,BLK,2020-07-17,train,30,-4.520237369169298,,-4.083955845225004
BLK_2020_Q3_20201013,BLK,2020-10-13,train,30,-4.0225513058579,,-4.038833679540703
