dataset,split,target,horizon,segment,model,condition,n,r2_oos,mse
fincall,temporal,dv,3,test,mlp_text_pastvol,real,481,-1.1858054017634552,2.5667687526178637
fincall,temporal,dv,3,test,mlp_text_pastvol,within_shuffle,481,-1.177283824497683,2.556761952272711
fincall,temporal,dv,3,test,ridge_pastvol,global_shuffle,481,0.41464379188841716,0.6873777614967601
fincall,temporal,dv,3,test,ridge_pastvol,real,481,0.41464379188841716,0.6873777614967601
fincall,temporal,dv,3,test,ridge_pastvol,within_shuffle,481,0.41464379188841716,0.6873777614967601
fincall,temporal,dv,3,test,ridge_text,global_shuffle,481,-0.0989873796171592,1.2905295518287763
fincall,temporal,dv,3,test,ridge_text,real,481,0.02833846255447825,1.1410121278059215
fincall,temporal,dv,3,test,ridge_text,within_shuffle,481,0.01677536448989947,1.1545905546739639
fincall,temporal,dv,3,test,ridge_text_pastvol,global_shuffle,481,-1.8639779997274308,3.363139843992807
fincall,temporal,dv,3,test,ridge_text_pastvol,real,481,-1.6784776353837887,3.1453086782301303
fincall,temporal,dv,3,test,ridge_text_pastvol,within_shuffle,481,-1.6865612917765218,3.1548012326080395
fincall,temporal,dv,3,test,ticker_only,real,481,-0.17854237611408608,1.3839501641843834
fincall,temporal,dv,7,test,mlp_pastvol,global_shuffle,481,-1.0165124431899573,0.8441851311723594
fincall,temporal,dv,7,test,mlp_pastvol,real,481,-1.0165124431899573,0.8441851311723594
fincall,temporal,dv,7,test,mlp_pastvol,within_shuffle,481,-1.0165124431899573,0.8441851311723594
fincall,temporal,dv,7,test,mlp_text,global_shuffle,481,-0.45645962170278054,0.6097267393249528
fincall,temporal,dv,7,test,mlp_text,real,481,-0.17546191663267718,0.4920909244234172
fincall,temporal,dv,7,test,mlp_text,within_shuffle,481,-0.21568669572906107,0.5089304735829268
fincall,temporal,dv,7,test,mlp_text_pastvol,global_shuffle,481,-1.9888205578897469,1.2512285174503734
fincall,temporal,dv,7,test,mlp_text_pastvol,real,481,-1.571153247518832,1.0763778566559816
fincall,temporal,dv,7,test,mlp_text_pastvol,within_shuffle,481,-1.5951890536827293,1.0864401155068149
fincall,temporal,dv,7,test,ridge_pastvol,global_shuffle,481,-1.053388718836858,0.8596228755310708
fincall,temporal,dv,7,test,ridge_pastvol,real,481,-1.053388718836858,0.8596228755310708
fincall,temporal,dv,7,test,ridge_pastvol,within_shuffle,481,-1.053388718836858,0.8596228755310708
fincall,temporal,dv,7,test,ridge_text,global_shuffle,481,-0.12053973031796916,0.46909850837613026
fincall,temporal,dv,7,test,ridge_text,real,481,0.03019067553559429,0.40599730219866514
fincall,temporal,dv,7,test,ridge_text,within_shuffle,481,0.01980684443384728,0.41034434991974594
fincall,temporal,dv,7,test,ridge_text_pastvol,global_shuffle,481,-3.439027436249514,1.8583376319860347
fincall,temporal,dv,7,test,ridge_text_pastvol,real,481,-3.0757324172811993,1.7062491813157894
fincall,temporal,dv,7,test,ridge_text_pastvol,within_shuffle,481,-3.0919751283854255,1.7130489683691366
