dataset,horizon,run,mse,mse_single,mse_mean,mse_std,mse_best,published_mse,published_std,text_embedding
16,30,0,0.1944193542003631,1.460382103919983,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,1,0.1982990652322769,1.4888654947280884,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,2,0.2111180573701858,1.498225450515747,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,3,0.208704262971878,1.4907572269439695,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,4,0.2277857214212417,1.52406108379364,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,5,0.163660243153572,1.6797770261764526,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,6,0.2074699401855468,1.4991168975830078,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,7,0.1994597464799881,1.707855463027954,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,8,0.1425322592258453,1.606953501701355,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
16,30,9,0.130194216966629,1.521454095840454,0.18836428672075267,0.031978497363093286,0.130194216966629,0.177,0.0333,regenerated_bert_base_pooler
