dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1
fincall,combined,dv,30,mlp_text,val,21,0.15101548956814753,0.29652590466087303,-1.2272759068800667,0.25112781954887214,0.0632516724927779,0.1065044950043903,0.39352939202703896,0.965172028530267
fincall,combined,dv,30,mlp_text_pastvol,test,92,0.2740115033974121,0.3924920268887569,-1.5590654013476417,0.05044584076824923,0.03317273519903112,0.0014090777453258554,0.004654166564953385,0.18324838841510036
fincall,combined,dv,30,mlp_text_pastvol,val,21,0.1311917993328651,0.2785554125904334,-0.9349030663670823,0.21804511278195485,0.03317273519903112,0.0908155622878911,0.33229907045037155,0.6940900435822193
fincall,combined,dv,30,ridge_pastvol,test,92,0.10711475455565699,0.26365920137740273,-0.0003728272665481924,0.3054442648202657,,0.9970332405492386,0.020783977033312553,0.00014904702389541556
fincall,combined,dv,30,ridge_pastvol,val,21,0.05707938401783169,0.19615025659806834,0.15815564902630708,0.4812030075187969,,0.5369518480307909,0.038471418385095005,0.04707589846473196
fincall,combined,dv,30,ridge_text,test,92,0.1304366797151919,0.27921015914672137,-0.21818241200513033,0.049841896831327816,,0.03869217330107909,0.8871783867856068,0.017961811695937017
fincall,combined,dv,30,ridge_text,val,21,0.08855371875757571,0.22877756443437458,-0.3060485703645508,-0.048120300751879695,,0.18932249901484788,0.916787001412028,0.2532512120749874
fincall,combined,dv,30,ridge_text_pastvol,test,92,0.12796727103595268,0.27808285198855154,-0.19511995574152063,0.08505925056047828,,0.06352146498788683,0.9805972256438341,0.011859562205122725
fincall,combined,dv,30,ridge_text_pastvol,val,21,0.08017711267180283,0.216490558917447,-0.18250486653907183,0.03909774436090225,,0.3551569859817381,0.7041795946462526,0.1862636879322484
fincall,combined,har_resid,3,mlp_pastvol,test,92,0.6874539372722767,0.64484736577743,0.008564042511044812,0.10293596567483618,0.005488921613542825,0.5785383965490963,0.5785383965490963,0.019377758195127586
fincall,combined,har_resid,3,mlp_pastvol,val,21,0.4077615753356436,0.5244850808015687,-0.05170911183119209,-0.02857142857142857,0.005488921613542825,0.4111808321582075,0.4111808321582075,0.06629886605113548
fincall,combined,har_resid,3,mlp_text,test,92,0.8898250496342367,0.7292842631258734,-0.28329259932999107,-0.02751668725566452,0.08819893670010123,0.0463989993764669,0.0463989993764669,0.7252917619621415
fincall,combined,har_resid,3,mlp_text,val,21,0.6137186381663104,0.6782280934558396,-0.5829188498912445,0.14285714285714285,0.08819893670010123,0.07664447987559467,0.07664447987559467,0.7507249947778306
fincall,combined,har_resid,3,mlp_text_pastvol,test,92,0.8623244914068253,0.7322129074762233,-0.24363169872353252,-0.009832644491553424,0.09732291665211579,0.011467430118278348,0.011467430118278348,0.887889947602631
fincall,combined,har_resid,3,mlp_text_pastvol,val,21,0.6204535334540646,0.658973516473331,-0.6002896645285227,0.03458646616541353,0.09732291665211579,0.055048649313354604,0.055048649313354604,0.6945445232000689
fincall,combined,har_resid,3,ridge_pastvol,test,92,0.6935320083608383,0.6445736026397084,-0.00020166221861961375,0.056980178641329496,,0.7643909176762258,0.7643909176762258,0.02793959804439877
fincall,combined,har_resid,3,ridge_pastvol,val,21,0.3882349350019768,0.5169707978391669,-0.0013455003372362384,-0.14586466165413534,,0.6844393110119086,0.6844393110119086,0.05557549742262346
fincall,combined,har_resid,3,ridge_text,test,92,0.7087085577348549,0.6558982002960034,-0.02208905851415799,0.10690481274179366,,0.5539768094401533,0.5539768094401533,0.06596165771446195
fincall,combined,har_resid,3,ridge_text,val,21,0.4676887608313698,0.5746115550260958,-0.20627484544739727,-0.07518796992481201,,0.036452322986937055,0.036452322986937055,0.20960783829983304
fincall,combined,har_resid,3,ridge_text_pastvol,test,92,0.7093484859366828,0.656384596389427,-0.023011953554981757,0.1143035072468189,,0.5379888968860517,0.5379888968860517,0.06732192672753094
fincall,combined,har_resid,3,ridge_text_pastvol,val,21,0.46660498980297876,0.5741468480354458,-0.20347955541851404,-0.060150375939849614,,0.0362841765748485,0.0362841765748485,0.20312709865479542
fincall,combined,har_resid,7,mlp_pastvol,test,92,0.2579463563807275,0.4104677529344895,-0.012449145894881664,0.051362178265135464,0.00562311911008649,0.6614002007713863,0.6614002007713863,0.004385893215600432
fincall,combined,har_resid,7,mlp_pastvol,val,21,0.255714000009536,0.3943090731579969,0.03355488059446543,-0.12932330827067667,0.00562311911008649,0.6439108745063624,0.6439108745063624,0.2803386583967151
fincall,combined,har_resid,7,mlp_text,test,92,0.3518456066407827,0.46382946094211525,-0.38100723316494345,0.013015042677688134,0.06982390326831432,0.06992478305815161,0.06992478305815161,0.7021677125809241
