dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_stage1,dm_p_vs_stage2,dm_p_vs_stage3
fincall,temporal,har_resid,3,stack_fusion_pastvol,test,481,0.6237155854856379,0.6039853353668414,0.009229551781440692,0.2609623036044014,,0.6622929470847044,1.5473288740678427e-05,0.010035376368874215,0.47313203684996596
fincall,temporal,har_resid,3,stack_fusion_pastvol,val,228,0.44945037003321364,0.5429609648631142,0.04021409428594325,-0.012838740820736327,,0.13786779035244537,0.0001306364426281938,0.07145919949873726,0.22042644232552797
fincall,temporal,har_resid,7,gated_fusion,test,481,0.28382953176953546,0.4232087645870922,-0.1484404186780759,0.19890138357839388,0.04270841004150655,0.008480927015488204,0.28832137555273907,1.0789434257634526e-05,0.005994027874301191
fincall,temporal,har_resid,7,gated_fusion,val,228,0.27079179236658407,0.4107938662427542,-0.38150673724871953,-0.01416169060580165,0.04270841004150655,0.001014084308241583,0.6029392049328671,4.7130046231352864e-05,0.0007940601472700569
fincall,temporal,har_resid,7,gated_fusion_pastvol,test,481,0.4090911656231941,0.45339302339393023,-0.6552781755891632,0.14810835500662314,0.06212178110976036,0.12829425286125848,0.32545486232602344,0.0692579219098324,0.11665498396418245
fincall,temporal,har_resid,7,gated_fusion_pastvol,val,228,0.30789493521016714,0.44043886525244025,-0.5707969715041241,-0.09036800492164337,0.06212178110976036,7.530139593689199e-06,0.06136111753758385,1.9130650973519326e-07,5.069951149062304e-06
fincall,temporal,har_resid,7,stack_fusion,test,481,0.24119482444915485,0.3966037250330245,0.02406954115581683,0.32212101588915565,,0.29102166469795404,1.0262933217142574e-06,4.919024593092271e-05,0.3687315086422265
fincall,temporal,har_resid,7,stack_fusion,val,228,0.18375584637554193,0.3402924172669658,0.06252720011177726,0.16148656294942865,,0.06393371361776305,4.687681006002433e-06,0.12417800726200527,0.031934278095344215
fincall,temporal,har_resid,7,stack_fusion_pastvol,test,481,0.24119482444915485,0.3966037250330245,0.02406954115581683,0.32212101588915565,,0.29102166469795404,1.0262933217142574e-06,4.919024593092271e-05,0.3687315086422265
fincall,temporal,har_resid,7,stack_fusion_pastvol,val,228,0.18375584637554193,0.3402924172669658,0.06252720011177726,0.16148656294942865,,0.06393371361776305,4.687681006002433e-06,0.12417800726200527,0.031934278095344215
