dataset,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,seed_std,dm_p_vs_persistence,dm_p_vs_har,dm_p_vs_stage1,dm_p_vs_stage2
fincall,temporal,har_resid,15,mlp_wavlm_egemaps_audio_pastvol,test,481,0.403518213234851,0.43895235264840765,-1.44563538095843,0.07458429515882063,0.18621096578975166,0.03238779870231237,0.03238779870231237,0.09277766162995771,0.01622750061614436
fincall,temporal,har_resid,15,mlp_wavlm_egemaps_audio_pastvol,val,228,0.15291266097811468,0.3080894424737027,-0.5273931728772676,0.21264367457165656,0.18621096578975166,0.0007806847583243431,0.0007806847583243431,0.40195727728364694,0.00038978441395066916
fincall,temporal,har_resid,15,mlp_wavlm_text_audio_pastvol,test,481,0.30294852528527216,0.3674361121463923,-0.8361045616933038,0.16135338970027754,0.10822033802052869,0.18914586717946447,0.18914586717946447,0.40694893001982824,0.11702678522076895
fincall,temporal,har_resid,15,mlp_wavlm_text_audio_pastvol,val,228,0.1929094051430342,0.34890397751772845,-0.9269072064703412,0.19323353149309638,0.10822033802052869,2.1025270485606375e-05,2.1025270485606375e-05,0.016877628834817145,3.4444973400009045e-06
fincall,temporal,har_resid,15,ridge_egemaps_audio,test,481,0.16509050937313502,0.33326159767709873,-0.0005773656328165178,0.049242830434131114,,0.9369431518947432,0.9369431518947432,5.2265831397059024e-09,0.0014548399457497228
fincall,temporal,har_resid,15,ridge_egemaps_audio,val,228,0.10077318875203553,0.24033832237152825,-0.006589510145015742,0.14150698014163884,,0.6255318730780174,0.6255318730780174,0.0001428551280604725,0.4045586237162891
fincall,temporal,har_resid,15,ridge_egemaps_audio_pastvol,test,481,0.16664175864786304,0.3344184984951744,-0.009979147229110641,0.06438190133492352,,0.5520501570570837,0.5520501570570837,5.5116476982550425e-08,1.2195835566440897e-05
fincall,temporal,har_resid,15,ridge_egemaps_audio_pastvol,val,228,0.10050091840743204,0.23981110091480226,-0.003869893189400786,0.1360772718987273,,0.7756557687054066,0.7756557687054066,0.00012673291596126265,0.4248527065910327
fincall,temporal,har_resid,15,ridge_emotion2vec_audio,test,481,0.16427659251104682,0.33094419329881836,0.004355605940199014,0.12732802343702565,,0.7332673059149094,0.7332673059149094,5.558388040197179e-09,0.0035535683248383828
fincall,temporal,har_resid,15,ridge_emotion2vec_audio,val,228,0.09825064600605381,0.23538064036841233,0.018607321457142945,0.22494685442922502,,0.38787448116145407,0.38787448116145407,6.270433624733605e-05,0.686118853171624
fincall,temporal,har_resid,15,ridge_emotion2vec_audio_pastvol,test,481,0.16599114841879806,0.33225519528261227,-0.006035941338454309,0.1342327198295035,,0.7652868049146733,0.7652868049146733,6.650659297102374e-08,7.487447226588368e-05
fincall,temporal,har_resid,15,ridge_emotion2vec_audio_pastvol,val,228,0.09800909984101615,0.23483295317623262,0.02102004491021281,0.23004277126557698,,0.33313899471621405,0.33313899471621405,5.664662341174073e-05,0.7105360095792778
fincall,temporal,har_resid,15,ridge_wavlm_audio,test,481,0.16900348584608232,0.337441928657865,-0.024293057745896407,0.1802187119113652,,0.42831798274608596,0.42831798274608596,3.1862306978314174e-06,0.0008416310948858429
fincall,temporal,har_resid,15,ridge_wavlm_audio,val,228,0.09253536657492317,0.23218870246373638,0.07569532665145573,0.3462261044781675,,0.13564841838497135,0.13564841838497135,4.8582438527203676e-05,0.6593583296024775
fincall,temporal,har_resid,15,ridge_wavlm_audio_pastvol,test,481,0.2185572298714859,0.34478813758816695,-0.3246274309479076,0.18931276614857587,,0.31074017995494063,0.31074017995494063,0.9551857700621268,0.13191772623243506
fincall,temporal,har_resid,15,ridge_wavlm_audio_pastvol,val,228,0.09147851646143819,0.23027231529027267,0.08625184720224632,0.37272614857010955,,0.08417990616786807,0.08417990616786807,2.9139440577415984e-05,0.5411111069246278
fincall,temporal,har_resid,15,ridge_wavlm_egemaps_audio,test,481,0.1655985881036532,0.33373414375243965,-0.0036567193742658155,0.10197246763756951,,0.8226424043632258,0.8226424043632258,2.8591062387394344e-08,0.0013186269836729274
fincall,temporal,har_resid,15,ridge_wavlm_egemaps_audio,val,228,0.09903661018287274,0.2371748775607119,0.010756589476413447,0.22905601108901932,,0.7092166380538886,0.7092166380538886,6.596896639070193e-05,0.5835090782211854
fincall,temporal,har_resid,15,ridge_wavlm_egemaps_audio_pastvol,test,481,0.1672817883194538,0.33493070062017993,-0.013858226681702002,0.10642865104137833,,0.5351639486864612,0.5351639486864612,2.4793782566951293e-07,1.161103978986547e-05
fincall,temporal,har_resid,15,ridge_wavlm_egemaps_audio_pastvol,val,228,0.09881798777251333,0.2368892633143095,0.012940335249228996,0.23084693501047587,,0.6535683114391925,0.6535683114391925,6.0275766271902635e-05,0.6041284219140852
fincall,temporal,har_resid,15,ridge_wavlm_text_audio_pastvol,test,481,0.14752539749504387,0.3077969989342136,0.10588092465147125,0.3301508658417418,,0.006694465913108765,0.006694465913108765,3.2006419854239203e-10,0.09932167752842194
fincall,temporal,har_resid,15,ridge_wavlm_text_audio_pastvol,val,228,0.09489290348154909,0.23013585884211116,0.05214668291618019,0.3575690584317741,,0.4139635080029657,0.4139635080029657,0.0004755272344538454,0.7546852338419667
fincall,temporal,har_resid,30,mlp_egemaps_audio,test,481,0.1775443085992862,0.33887508552067,-0.23802252785031985,0.016652907474394216,0.384276243794465,0.0002892326539874118,0.0002892326539874118,0.02768659156995949,1.6224276812211289e-07
fincall,temporal,har_resid,30,mlp_egemaps_audio,val,228,0.13941796663876072,0.27693693765479444,-0.39632805986045505,-0.09049616716533447,0.384276243794465,0.13517820475083495,0.13517820475083495,0.5202686011305524,0.021955188612178277
fincall,temporal,har_resid,30,mlp_egemaps_audio_pastvol,test,481,0.7959611411867911,0.3985788251907493,-4.550264223376284,-0.02541160790069661,0.6149467650053285,0.12646233295064618,0.12646233295064618,0.16758191226225277,0.1101839719266384
