stage,dataset,split,target,horizon,segment,n,r2_oos,mse,dm_p_vs_stage1,holm_p_vs_stage1
S0_HAR,fincall,temporal,v,15,val,228,0.3668889865926963,0.1001134898947213,,
S0_persistence,fincall,temporal,v,15,test,481,0.0,0.208013753506346,,
S0_persistence,fincall,temporal,v,15,val,228,0.0,0.1581294398211876,,
S1_GBDT,fincall,temporal,v,15,test,481,-0.0400779774458578,0.2163505240278016,,
S1_GBDT,fincall,temporal,v,15,val,228,0.1461217601062177,0.1350232877499054,,
S2_text,fincall,temporal,v,15,test,481,0.0452357821574933,0.1986040886669705,0.2784044408956438,
S2_text,fincall,temporal,v,15,val,228,0.3067745301919596,0.109619355210525,0.0467776939535839,
S3_audio,fincall,temporal,v,15,test,481,-0.1391288500976164,0.236954467836173,0.2599712136870015,
S3_audio,fincall,temporal,v,15,val,228,0.2721494606483481,0.1150945980612259,0.1132329358752479,
S4_fusion,fincall,temporal,v,15,test,481,0.1249438074778577,0.1820237231355026,0.1045810891100503,
S4_fusion,fincall,temporal,v,15,val,228,0.4115352960558008,0.0930535939892372,1.6542600372696133e-05,
S0_HAR,fincall,temporal,v,30,test,481,-0.2871470699385527,0.1434095944179391,,
S0_HAR,fincall,temporal,v,30,val,228,-0.7017807918188745,0.0998461397765606,,
S0_persistence,fincall,temporal,v,30,test,481,0.0,0.1114166343281855,,
S0_persistence,fincall,temporal,v,30,val,228,0.0,0.0586715634919374,,
S1_GBDT,fincall,temporal,v,30,test,481,-0.8394280558425102,0.2049428830708102,,
S1_GBDT,fincall,temporal,v,30,val,228,-1.5866518273725818,0.1517629069212263,,
S2_text,fincall,temporal,v,30,test,481,-1.09098435183624,0.2329704389144964,0.671292296970624,
S2_text,fincall,temporal,v,30,val,228,-0.8397070371013449,0.1079384882338556,0.0201215963415389,
S3_audio,fincall,temporal,v,30,test,481,-1.6610574226978816,0.2964860617910337,0.3459665927588733,
S3_audio,fincall,temporal,v,30,val,228,-1.5437284611143909,0.1492445259125212,0.9937057953192284,
